open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957283081,m1:0.312,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692957283081,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692957283542,m1Cmd:7.212,m2Cmd:9.336,m3Cmd:7.036,s1Cmd:8.05,s2Cmd:-3.45,duration:460
Cmdms:1692957283547,m1Cmd:7.287,m2Cmd:9.436,m3Cmd:7.111,s1Cmd:8.1375,s2Cmd:-3.4875,duration:465
Cmdms:1692957283553,m1Cmd:7.377,m2Cmd:9.556,m3Cmd:7.201,s1Cmd:8.2425,s2Cmd:-3.5325,duration:471
Cmdms:1692957283558,m1Cmd:7.452,m2Cmd:9.656,m3Cmd:7.276,s1Cmd:8.33,s2Cmd:-3.57,duration:476
Cmdms:1692957283564,m1Cmd:7.527,m2Cmd:9.756,m3Cmd:7.351,s1Cmd:8.4175,s2Cmd:-3.6075,duration:481
Anglems:1692957283564,m1:5.064,m2:7,m3:5.68,s1:7.7004,s2:-3.0258 ,duration:481
Velms:1692957283564,velM1:17.568,velM2:26.352,velM3:13.176,velS1:18.3,velS2:8.4 ,duration:481
Cmdms:1692957283569,m1Cmd:7.617,m2Cmd:9.876,m3Cmd:7.441,s1Cmd:8.5225,s2Cmd:-3.6525,duration:487
Cmdms:1692957283574,m1Cmd:7.692,m2Cmd:9.976,m3Cmd:7.516,s1Cmd:8.61,s2Cmd:-3.69,duration:492
Cmdms:1692957283580,m1Cmd:7.782,m2Cmd:10.096,m3Cmd:7.606,s1Cmd:8.715,s2Cmd:-3.735,duration:498
Cmdms:1692957283585,m1Cmd:7.857,m2Cmd:10.196,m3Cmd:7.681,s1Cmd:8.8025,s2Cmd:-3.7725,duration:503
Cmdms:1692957283590,m1Cmd:7.932,m2Cmd:10.296,m3Cmd:7.756,s1Cmd:8.89,s2Cmd:-3.81,duration:508
Cmdms:1692957283596,m1Cmd:8.022,m2Cmd:10.416,m3Cmd:7.846,s1Cmd:8.995,s2Cmd:-3.855,duration:514
Cmdms:1692957283601,m1Cmd:8.097,m2Cmd:10.516,m3Cmd:7.921,s1Cmd:9.0825,s2Cmd:-3.8925,duration:519
Cmdms:1692957283608,m1Cmd:8.172,m2Cmd:10.616,m3Cmd:7.996,s1Cmd:9.17,s2Cmd:-3.93,duration:524
Anglems:1692957283608,m1:5.768,m2:7.968,m3:6.472,s1:7.7004,s2:-3.3696 ,duration:524
Velms:1692957283608,velM1:17.568,velM2:21.96,velM3:17.568,velS1:18.3,velS2:7.8 ,duration:524
Cmdms:1692957283613,m1Cmd:8.277,m2Cmd:10.756,m3Cmd:8.101,s1Cmd:9.2925,s2Cmd:-3.9825,duration:531
Cmdms:1692957283618,m1Cmd:8.352,m2Cmd:10.856,m3Cmd:8.176,s1Cmd:9.38,s2Cmd:-4.02,duration:536
Cmdms:1692957283624,m1Cmd:8.442,m2Cmd:10.976,m3Cmd:8.266,s1Cmd:9.485,s2Cmd:-4.065,duration:542
Cmdms:1692957283630,m1Cmd:8.517,m2Cmd:11.076,m3Cmd:8.341,s1Cmd:9.5725,s2Cmd:-4.1025,duration:547
Cmdms:1692957283635,m1Cmd:8.607,m2Cmd:11.196,m3Cmd:8.431,s1Cmd:9.6775,s2Cmd:-4.1475,duration:553
Cmdms:1692957283641,m1Cmd:8.697,m2Cmd:11.316,m3Cmd:8.521,s1Cmd:9.7825,s2Cmd:-4.1925,duration:559
Cmdms:1692957283646,m1Cmd:8.772,m2Cmd:11.416,m3Cmd:8.596,s1Cmd:9.87,s2Cmd:-4.23,duration:564
Cmdms:1692957283652,m1Cmd:8.862,m2Cmd:11.536,m3Cmd:8.686,s1Cmd:9.975,s2Cmd:-4.275,duration:570
Anglems:1692957283652,m1:6.472,m2:8.76,m3:7.088,s1:8.6094,s2:-3.8304 ,duration:570
Velms:1692957283652,velM1:17.568,velM2:17.568,velM3:13.176,velS1:18,velS2:7.8 ,duration:570
Cmdms:1692957283657,m1Cmd:8.937,m2Cmd:11.636,m3Cmd:8.761,s1Cmd:10.0625,s2Cmd:-4.3125,duration:575
Cmdms:1692957283663,m1Cmd:9.027,m2Cmd:11.756,m3Cmd:8.851,s1Cmd:10.1675,s2Cmd:-4.3575,duration:581
Cmdms:1692957283668,m1Cmd:9.102,m2Cmd:11.856,m3Cmd:8.926,s1Cmd:10.255,s2Cmd:-4.395,duration:586
Cmdms:1692957283674,m1Cmd:9.192,m2Cmd:11.976,m3Cmd:9.016,s1Cmd:10.36,s2Cmd:-4.44,duration:592
Cmdms:1692957283679,m1Cmd:9.267,m2Cmd:12.076,m3Cmd:9.091,s1Cmd:10.4475,s2Cmd:-4.4775,duration:597
Cmdms:1692957283685,m1Cmd:9.342,m2Cmd:12.176,m3Cmd:9.166,s1Cmd:10.535,s2Cmd:-4.515,duration:602
Cmdms:1692957283690,m1Cmd:9.432,m2Cmd:12.296,m3Cmd:9.256,s1Cmd:10.64,s2Cmd:-4.56,duration:608
Cmdms:1692957283695,m1Cmd:9.507,m2Cmd:12.396,m3Cmd:9.331,s1Cmd:10.7275,s2Cmd:-4.5975,duration:613
Anglems:1692957283695,m1:7.176,m2:9.728,m3:7.792,s1:9.4212,s2:-4.1472 ,duration:613
Velms:1692957283695,velM1:13.176,velM2:21.96,velM3:13.176,velS1:17.7,velS2:7.5 ,duration:613
Cmdms:1692957283701,m1Cmd:9.597,m2Cmd:12.516,m3Cmd:9.421,s1Cmd:10.8325,s2Cmd:-4.6425,duration:619
Cmdms:1692957283706,m1Cmd:9.672,m2Cmd:12.616,m3Cmd:9.496,s1Cmd:10.92,s2Cmd:-4.68,duration:624
Cmdms:1692957283712,m1Cmd:9.762,m2Cmd:12.736,m3Cmd:9.586,s1Cmd:11.025,s2Cmd:-4.725,duration:630
Cmdms:1692957283718,m1Cmd:9.837,m2Cmd:12.836,m3Cmd:9.661,s1Cmd:11.1125,s2Cmd:-4.7625,duration:635
Cmdms:1692957283724,m1Cmd:9.942,m2Cmd:12.976,m3Cmd:9.766,s1Cmd:11.235,s2Cmd:-4.815,duration:642
Cmdms:1692957283729,m1Cmd:10.017,m2Cmd:13.076,m3Cmd:9.841,s1Cmd:11.3225,s2Cmd:-4.8525,duration:647
Cmdms:1692957283735,m1Cmd:10.107,m2Cmd:13.196,m3Cmd:9.931,s1Cmd:11.4275,s2Cmd:-4.8975,duration:653
Cmdms:1692957283741,m1Cmd:10.182,m2Cmd:13.296,m3Cmd:10.006,s1Cmd:11.515,s2Cmd:-4.935,duration:658
Anglems:1692957283741,m1:7.792,m2:10.52,m3:8.408,s1:10.377,s2:-4.6044 ,duration:658
Velms:1692957283741,velM1:13.176,velM2:17.568,velM3:13.176,velS1:18,velS2:7.5 ,duration:658
Cmdms:1692957283747,m1Cmd:10.287,m2Cmd:13.436,m3Cmd:10.111,s1Cmd:11.6375,s2Cmd:-4.9875,duration:665
