open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
[1;32mNODE_ID:2 SWITCH_ON so:0[0m
[1;32mNODE_ID:1 SWITCH_ON so:0[0m
**********************
*angle ms:1692950281018,m1:-0.128,m2:0.136,m3:0.136,s1:0,s2:0
*vel ms:1692950281018,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692950281334,m1Cmd:6.172,m2Cmd:9.586,m3Cmd:3.286,s1Cmd:1.05,s2Cmd:2.1,duration:315
Cmdms:1692950281339,m1Cmd:6.292,m2Cmd:9.766,m3Cmd:3.346,s1Cmd:1.07,s2Cmd:2.14,duration:321
Cmdms:1692950281345,m1Cmd:6.392,m2Cmd:9.916,m3Cmd:3.396,s1Cmd:1.08667,s2Cmd:2.17333,duration:326
Cmdms:1692950281350,m1Cmd:6.512,m2Cmd:10.096,m3Cmd:3.456,s1Cmd:1.10667,s2Cmd:2.21333,duration:332
Cmdms:1692950281355,m1Cmd:6.612,m2Cmd:10.246,m3Cmd:3.506,s1Cmd:1.12333,s2Cmd:2.24667,duration:337
Cmdms:1692950281361,m1Cmd:6.712,m2Cmd:10.396,m3Cmd:3.556,s1Cmd:1.14,s2Cmd:2.28,duration:342
Cmdms:1692950281366,m1Cmd:6.832,m2Cmd:10.576,m3Cmd:3.616,s1Cmd:1.16,s2Cmd:2.32,duration:348
Anglems:1692950281366,m1:3.92,m2:7.616,m3:2.512,s1:0.9666,s2:1.8234 ,duration:348
Velms:1692950281366,velM1:21.96,velM2:30.744,velM3:8.784,velS1:3.6,velS2:6 ,duration:348
Cmdms:1692950281371,m1Cmd:6.932,m2Cmd:10.726,m3Cmd:3.666,s1Cmd:1.17667,s2Cmd:2.35333,duration:353
Cmdms:1692950281377,m1Cmd:7.032,m2Cmd:10.876,m3Cmd:3.716,s1Cmd:1.19333,s2Cmd:2.38667,duration:358
Cmdms:1692950281383,m1Cmd:7.152,m2Cmd:11.056,m3Cmd:3.776,s1Cmd:1.21333,s2Cmd:2.42667,duration:364
Cmdms:1692950281390,m1Cmd:7.272,m2Cmd:11.236,m3Cmd:3.836,s1Cmd:1.23333,s2Cmd:2.46667,duration:370
Cmdms:1692950281395,m1Cmd:7.412,m2Cmd:11.446,m3Cmd:3.906,s1Cmd:1.25667,s2Cmd:2.51333,duration:377
Cmdms:1692950281400,m1Cmd:7.512,m2Cmd:11.596,m3Cmd:3.956,s1Cmd:1.27333,s2Cmd:2.54667,duration:382
Cmdms:1692950281406,m1Cmd:7.612,m2Cmd:11.746,m3Cmd:4.006,s1Cmd:1.29,s2Cmd:2.58,duration:387
Cmdms:1692950281412,m1Cmd:7.732,m2Cmd:11.926,m3Cmd:4.066,s1Cmd:1.31,s2Cmd:2.62,duration:393
Anglems:1692950281412,m1:4.888,m2:8.936,m3:2.952,s1:1.08,s2:2.0934 ,duration:393
Velms:1692950281412,velM1:21.96,velM2:26.352,velM3:4.392,velS1:2.7,velS2:6 ,duration:393
Cmdms:1692950281418,m1Cmd:7.852,m2Cmd:12.106,m3Cmd:4.126,s1Cmd:1.33,s2Cmd:2.66,duration:399
Cmdms:1692950281423,m1Cmd:7.972,m2Cmd:12.286,m3Cmd:4.186,s1Cmd:1.35,s2Cmd:2.7,duration:405
Cmdms:1692950281428,m1Cmd:8.072,m2Cmd:12.436,m3Cmd:4.236,s1Cmd:1.36667,s2Cmd:2.73333,duration:410
Cmdms:1692950281434,m1Cmd:8.172,m2Cmd:12.586,m3Cmd:4.286,s1Cmd:1.38333,s2Cmd:2.76667,duration:415
Cmdms:1692950281440,m1Cmd:8.292,m2Cmd:12.766,m3Cmd:4.346,s1Cmd:1.40333,s2Cmd:2.80667,duration:421
Cmdms:1692950281445,m1Cmd:8.412,m2Cmd:12.946,m3Cmd:4.406,s1Cmd:1.42333,s2Cmd:2.84667,duration:427
Cmdms:1692950281451,m1Cmd:8.512,m2Cmd:13.096,m3Cmd:4.456,s1Cmd:1.44,s2Cmd:2.88,duration:432
Cmdms:1692950281456,m1Cmd:8.632,m2Cmd:13.276,m3Cmd:4.516,s1Cmd:1.46,s2Cmd:2.92,duration:438
Anglems:1692950281456,m1:5.768,m2:10.344,m3:3.48,s1:1.314,s2:2.4012 ,duration:438
Velms:1692950281456,velM1:17.568,velM2:30.744,velM3:13.176,velS1:3.9,velS2:6 ,duration:438
Cmdms:1692950281462,m1Cmd:8.732,m2Cmd:13.426,m3Cmd:4.566,s1Cmd:1.47667,s2Cmd:2.95333,duration:443
Cmdms:1692950281468,m1Cmd:8.852,m2Cmd:13.606,m3Cmd:4.626,s1Cmd:1.49667,s2Cmd:2.99333,duration:449
Cmdms:1692950281473,m1Cmd:8.972,m2Cmd:13.786,m3Cmd:4.686,s1Cmd:1.51667,s2Cmd:3.03333,duration:455
Cmdms:1692950281478,m1Cmd:9.072,m2Cmd:13.936,m3Cmd:4.736,s1Cmd:1.53333,s2Cmd:3.06667,duration:460
Cmdms:1692950281485,m1Cmd:9.172,m2Cmd:14.086,m3Cmd:4.786,s1Cmd:1.55,s2Cmd:3.1,duration:465
Cmdms:1692950281491,m1Cmd:9.312,m2Cmd:14.296,m3Cmd:4.856,s1Cmd:1.57333,s2Cmd:3.14667,duration:472
Cmdms:1692950281497,m1Cmd:9.432,m2Cmd:14.476,m3Cmd:4.916,s1Cmd:1.59333,s2Cmd:3.18667,duration:478
Cmdms:1692950281503,m1Cmd:9.552,m2Cmd:14.656,m3Cmd:4.976,s1Cmd:1.61333,s2Cmd:3.22667,duration:484
Anglems:1692950281503,m1:6.56,m2:11.576,m3:3.92,s1:1.404,s2:2.7144 ,duration:484
Velms:1692950281503,velM1:17.568,velM2:26.352,velM3:8.784,velS1:3,velS2:6 ,duration:484
Cmdms:1692950281508,m1Cmd:9.672,m2Cmd:14.836,m3Cmd:5.036,s1Cmd:1.63333,s2Cmd:3.26667,duration:490
