open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692950783593,m1:-0.128,m2:0.048,m3:0.136,s1:0,s2:0
*vel ms:1692950783593,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Velms:1692950783994,velM1:21.96,velM2:26.352,velM3:13.176,velS1:32.4,velS2:32.1 ,duration:401
Cmdms:1692950783999,m1Cmd:7.992,m2Cmd:12.228,m3Cmd:4.196,s1Cmd:12.18,s2Cmd:12.18,duration:406
Cmdms:1692950784005,m1Cmd:8.092,m2Cmd:12.378,m3Cmd:4.246,s1Cmd:12.33,s2Cmd:12.33,duration:411
Cmdms:1692950784010,m1Cmd:8.212,m2Cmd:12.558,m3Cmd:4.306,s1Cmd:12.51,s2Cmd:12.51,duration:417
Cmdms:1692950784016,m1Cmd:8.312,m2Cmd:12.708,m3Cmd:4.356,s1Cmd:12.66,s2Cmd:12.66,duration:422
Cmdms:1692950784021,m1Cmd:8.432,m2Cmd:12.888,m3Cmd:4.416,s1Cmd:12.84,s2Cmd:12.84,duration:428
Cmdms:1692950784027,m1Cmd:8.532,m2Cmd:13.038,m3Cmd:4.466,s1Cmd:12.99,s2Cmd:12.99,duration:433
Cmdms:1692950784032,m1Cmd:8.652,m2Cmd:13.218,m3Cmd:4.526,s1Cmd:13.17,s2Cmd:13.17,duration:439
Cmdms:1692950784037,m1Cmd:8.752,m2Cmd:13.368,m3Cmd:4.576,s1Cmd:13.32,s2Cmd:13.32,duration:444
Anglems:1692950784037,m1:5.768,m2:10.168,m3:3.48,s1:12.2958,s2:11.0898 ,duration:444
Velms:1692950784037,velM1:21.96,velM2:30.744,velM3:13.176,velS1:31.5,velS2:31.2 ,duration:444
Cmdms:1692950784043,m1Cmd:8.852,m2Cmd:13.518,m3Cmd:4.626,s1Cmd:13.47,s2Cmd:13.47,duration:449
Cmdms:1692950784049,m1Cmd:8.972,m2Cmd:13.698,m3Cmd:4.686,s1Cmd:13.65,s2Cmd:13.65,duration:455
Cmdms:1692950784055,m1Cmd:9.092,m2Cmd:13.878,m3Cmd:4.746,s1Cmd:13.83,s2Cmd:13.83,duration:461
Cmdms:1692950784060,m1Cmd:9.212,m2Cmd:14.058,m3Cmd:4.806,s1Cmd:14.01,s2Cmd:14.01,duration:467
Cmdms:1692950784065,m1Cmd:9.312,m2Cmd:14.208,m3Cmd:4.856,s1Cmd:14.16,s2Cmd:14.16,duration:472
Cmdms:1692950784071,m1Cmd:9.412,m2Cmd:14.358,m3Cmd:4.906,s1Cmd:14.31,s2Cmd:14.31,duration:477
Cmdms:1692950784076,m1Cmd:9.532,m2Cmd:14.538,m3Cmd:4.966,s1Cmd:14.49,s2Cmd:14.49,duration:483
