open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692947065575,m1:-0.48,m2:0.048,m3:0.224,s1:0,s2:0
*vel ms:1692947065575,velM1:0,velM2:0,velM3:0,velS1:0,velS2:0
**********************
Cmdms:1692947066036,m1Cmd:8.7,m2Cmd:12.288,m3Cmd:4.814,s1Cmd:1.53,s2Cmd:3.06,duration:459
Cmdms:1692947066041,m1Cmd:8.82,m2Cmd:12.448,m3Cmd:4.874,s1Cmd:1.55,s2Cmd:3.1,duration:465
Cmdms:1692947066047,m1Cmd:8.92,m2Cmd:12.5813,m3Cmd:4.924,s1Cmd:1.56667,s2Cmd:3.13333,duration:470
Cmdms:1692947066052,m1Cmd:9.04,m2Cmd:12.7413,m3Cmd:4.984,s1Cmd:1.58667,s2Cmd:3.17333,duration:476
Cmdms:1692947066057,m1Cmd:9.14,m2Cmd:12.8747,m3Cmd:5.034,s1Cmd:1.60333,s2Cmd:3.20667,duration:481
Anglems:1692947066058,m1:5.768,m2:10.344,m3:4.096,s1:1.3374,s2:2.7774 ,duration:481
Velms:1692947066058,velM1:21.96,velM2:26.352,velM3:13.176,velS1:3.3,velS2:6.6 ,duration:481
Cmdms:1692947066063,m1Cmd:9.26,m2Cmd:13.0347,m3Cmd:5.094,s1Cmd:1.62333,s2Cmd:3.24667,duration:487
Cmdms:1692947066068,m1Cmd:9.36,m2Cmd:13.168,m3Cmd:5.144,s1Cmd:1.64,s2Cmd:3.28,duration:492
Cmdms:1692947066074,m1Cmd:9.48,m2Cmd:13.328,m3Cmd:5.204,s1Cmd:1.66,s2Cmd:3.32,duration:498
Cmdms:1692947066079,m1Cmd:9.58,m2Cmd:13.4613,m3Cmd:5.254,s1Cmd:1.67667,s2Cmd:3.35333,duration:503
Cmdms:1692947066085,m1Cmd:9.68,m2Cmd:13.5947,m3Cmd:5.304,s1Cmd:1.69333,s2Cmd:3.38667,duration:508
Cmdms:1692947066090,m1Cmd:9.8,m2Cmd:13.7547,m3Cmd:5.364,s1Cmd:1.71333,s2Cmd:3.42667,duration:514
Cmdms:1692947066095,m1Cmd:9.9,m2Cmd:13.888,m3Cmd:5.414,s1Cmd:1.73,s2Cmd:3.46,duration:519
Cmdms:1692947066101,m1Cmd:10,m2Cmd:14.0213,m3Cmd:5.464,s1Cmd:1.74667,s2Cmd:3.49333,duration:524
Anglems:1692947066101,m1:6.648,m2:11.488,m3:4.448,s1:1.4706,s2:3.0672 ,duration:524
Velms:1692947066101,velM1:21.96,velM2:26.352,velM3:4.392,velS1:3.9,velS2:6.6 ,duration:524
Cmdms:1692947066106,m1Cmd:10.12,m2Cmd:14.1813,m3Cmd:5.524,s1Cmd:1.76667,s2Cmd:3.53333,duration:530
Cmdms:1692947066111,m1Cmd:10.22,m2Cmd:14.3147,m3Cmd:5.574,s1Cmd:1.78333,s2Cmd:3.56667,duration:535
Cmdms:1692947066117,m1Cmd:10.34,m2Cmd:14.4747,m3Cmd:5.634,s1Cmd:1.80333,s2Cmd:3.60667,duration:541
Cmdms:1692947066122,m1Cmd:10.44,m2Cmd:14.608,m3Cmd:5.684,s1Cmd:1.82,s2Cmd:3.64,duration:546
Cmdms:1692947066128,m1Cmd:10.54,m2Cmd:14.7413,m3Cmd:5.734,s1Cmd:1.83667,s2Cmd:3.67333,duration:551
Cmdms:1692947066133,m1Cmd:10.66,m2Cmd:14.9013,m3Cmd:5.794,s1Cmd:1.85667,s2Cmd:3.71333,duration:557
Cmdms:1692947066138,m1Cmd:10.76,m2Cmd:15.0347,m3Cmd:5.844,s1Cmd:1.87333,s2Cmd:3.74667,duration:562
Cmdms:1692947066144,m1Cmd:10.88,m2Cmd:15.1947,m3Cmd:5.904,s1Cmd:1.89333,s2Cmd:3.78667,duration:568
Anglems:1692947066144,m1:7.528,m2:11.488,m3:4.888,s1:1.6866,s2:3.4038 ,duration:568
Velms:1692947066144,velM1:17.568,velM2:26.352,velM3:8.784,velS1:3.3,velS2:6.9 ,duration:568
Cmdms:1692947066149,m1Cmd:10.98,m2Cmd:15.328,m3Cmd:5.954,s1Cmd:1.91,s2Cmd:3.82,duration:573
Cmdms:1692947066155,m1Cmd:11.08,m2Cmd:15.4613,m3Cmd:6.004,s1Cmd:1.92667,s2Cmd:3.85333,duration:578
Cmdms:1692947066160,m1Cmd:11.2,m2Cmd:15.6213,m3Cmd:6.064,s1Cmd:1.94667,s2Cmd:3.89333,duration:584
Cmdms:1692947066165,m1Cmd:11.3,m2Cmd:15.7547,m3Cmd:6.114,s1Cmd:1.96333,s2Cmd:3.92667,duration:589
Cmdms:1692947066171,m1Cmd:11.42,m2Cmd:15.9147,m3Cmd:6.174,s1Cmd:1.98333,s2Cmd:3.96667,duration:595
Cmdms:1692947066176,m1Cmd:11.52,m2Cmd:16.048,m3Cmd:6.224,s1Cmd:2,s2Cmd:4,duration:600
Cmdms:1692947066182,m1Cmd:11.64,m2Cmd:16.208,m3Cmd:6.284,s1Cmd:2.02,s2Cmd:4.04,duration:606
Cmdms:1692947066187,m1Cmd:11.74,m2Cmd:16.3413,m3Cmd:6.334,s1Cmd:2.03667,s2Cmd:4.07333,duration:611
Anglems:1692947066187,m1:8.232,m2:12.72,m3:5.152,s1:1.7748,s2:3.7422 ,duration:611
Velms:1692947066187,velM1:17.568,velM2:30.744,velM3:4.392,velS1:3.3,velS2:6.9 ,duration:611
Cmdms:1692947066193,m1Cmd:11.86,m2Cmd:16.5013,m3Cmd:6.394,s1Cmd:2.05667,s2Cmd:4.11333,duration:617
Cmdms:1692947066198,m1Cmd:11.96,m2Cmd:16.6347,m3Cmd:6.444,s1Cmd:2.07333,s2Cmd:4.14667,duration:622
Cmdms:1692947066203,m1Cmd:12.06,m2Cmd:16.768,m3Cmd:6.494,s1Cmd:2.09,s2Cmd:4.18,duration:627
Cmdms:1692947066209,m1Cmd:12.18,m2Cmd:16.928,m3Cmd:6.554,s1Cmd:2.11,s2Cmd:4.22,duration:633
Cmdms:1692947066214,m1Cmd:12.28,m2Cmd:17.0613,m3Cmd:6.604,s1Cmd:2.12667,s2Cmd:4.25333,duration:638
Cmdms:1692947066219,m1Cmd:12.38,m2Cmd:17.1947,m3Cmd:6.654,s1Cmd:2.14333,s2Cmd:4.28667,duration:643
Cmdms:1692947066225,m1Cmd:12.5,m2Cmd:17.3547,m3Cmd:6.714,s1Cmd:2.16333,s2Cmd:4.32667,duration:649
Cmdms:1692947066230,m1Cmd:12.6,m2Cmd:17.488,m3Cmd:6.764,s1Cmd:2.18,s2Cmd:4.36,duration:654
Anglems:1692947066230,m1:9.2,m2:13.952,m3:5.768,s1:2.034,s2:3.7422 ,duration:654
Velms:1692947066230,velM1:21.96,velM2:30.744,velM3:17.568,velS1:3.3,velS2:7.2 ,duration:654
Cmdms:1692947066235,m1Cmd:12.7,m2Cmd:17.6213,m3Cmd:6.814,s1Cmd:2.19667,s2Cmd:4.39333,duration:659
Cmdms:1692947066241,m1Cmd:12.82,m2Cmd:17.7813,m3Cmd:6.874,s1Cmd:2.21667,s2Cmd:4.43333,duration:665
Cmdms:1692947066246,m1Cmd:12.92,m2Cmd:17.9147,m3Cmd:6.924,s1Cmd:2.23333,s2Cmd:4.46667,duration:670
Cmdms:1692947066251,m1Cmd:13.02,m2Cmd:18.048,m3Cmd:6.974,s1Cmd:2.25,s2Cmd:4.5,duration:675
Cmdms:1692947066257,m1Cmd:13.14,m2Cmd:18.208,m3Cmd:7.034,s1Cmd:2.27,s2Cmd:4.54,duration:681
Cmdms:1692947066262,m1Cmd:13.24,m2Cmd:18.3413,m3Cmd:7.084,s1Cmd:2.28667,s2Cmd:4.57333,duration:686
Cmdms:1692947066268,m1Cmd:13.34,m2Cmd:18.4747,m3Cmd:7.134,s1Cmd:2.30333,s2Cmd:4.60667,duration:691
Cmdms:1692947066273,m1Cmd:13.46,m2Cmd:18.6347,m3Cmd:7.194,s1Cmd:2.32333,s2Cmd:4.64667,duration:697
Anglems:1692947066273,m1:10.168,m2:15.008,m3:5.944,s1:2.1114,s2:4.0878 ,duration:697
Velms:1692947066273,velM1:26.352,velM2:26.352,velM3:0,velS1:3.3,velS2:7.2 ,duration:697
Cmdms:1692947066279,m1Cmd:13.56,m2Cmd:18.768,m3Cmd:7.244,s1Cmd:2.34,s2Cmd:4.68,duration:702
Cmdms:1692947066285,m1Cmd:13.68,m2Cmd:18.928,m3Cmd:7.304,s1Cmd:2.36,s2Cmd:4.72,duration:708
Cmdms:1692947066290,m1Cmd:13.8,m2Cmd:19.088,m3Cmd:7.364,s1Cmd:2.38,s2Cmd:4.76,duration:714
Cmdms:1692947066295,m1Cmd:13.9,m2Cmd:19.2213,m3Cmd:7.414,s1Cmd:2.39667,s2Cmd:4.79333,duration:719
Cmdms:1692947066302,m1Cmd:14.02,m2Cmd:19.3813,m3Cmd:7.474,s1Cmd:2.41667,s2Cmd:4.83333,duration:725
Cmdms:1692947066307,m1Cmd:14.14,m2Cmd:19.5413,m3Cmd:7.534,s1Cmd:2.43667,s2Cmd:4.87333,duration:731
Cmdms:1692947066313,m1Cmd:14.24,m2Cmd:19.6747,m3Cmd:7.584,s1Cmd:2.45333,s2Cmd:4.90667,duration:736
Cmdms:1692947066318,m1Cmd:14.36,m2Cmd:19.8347,m3Cmd:7.644,s1Cmd:2.47333,s2Cmd:4.94667,duration:742
Anglems:1692947066318,m1:11.136,m2:16.24,m3:6.736,s1:2.3796,s2:4.4496 ,duration:742
