open deivce ok!
Can Init ok!
serial speed 115200
servo id:1 init...
servo id:2 init...
servo id:3 init...
[1;32mNODE_ID:1 START_NODE[0m
[1;32mNODE_ID:2 START_NODE[0m
[1;32mNODE_ID:1 READY ev:0 qs:1[0m
[1;32mNODE_ID:2 READY ev:0 qs:1[0m
**********************
*angle ms:1692957448182,m1:0.224,m2:0.136,m3:0.224,s1:0,s2:0
*vel ms:1692957448182,velM1:0,velM2:0,velM3:0,velS1:0,velS2:-0.3
**********************
Cmdms:1692957448486,m1Cmd:4.769,m2Cmd:6.196,m3Cmd:4.769,s1Cmd:5.3025,s2Cmd:-2.2725,duration:303
Anglems:1692957448486,m1:2.248,m2:4.184,m3:3.128,s1:4.4352,s2:-1.62 ,duration:303
Velms:1692957448486,velM1:21.96,velM2:21.96,velM3:17.568,velS1:19.2,velS2:8.1 ,duration:303
Cmdms:1692957448492,m1Cmd:4.844,m2Cmd:6.296,m3Cmd:4.844,s1Cmd:5.39,s2Cmd:-2.31,duration:308
Cmdms:1692957448497,m1Cmd:4.934,m2Cmd:6.416,m3Cmd:4.934,s1Cmd:5.495,s2Cmd:-2.355,duration:314
Cmdms:1692957448503,m1Cmd:5.009,m2Cmd:6.516,m3Cmd:5.009,s1Cmd:5.5825,s2Cmd:-2.3925,duration:319
Cmdms:1692957448508,m1Cmd:5.099,m2Cmd:6.636,m3Cmd:5.099,s1Cmd:5.6875,s2Cmd:-2.4375,duration:325
Cmdms:1692957448513,m1Cmd:5.174,m2Cmd:6.736,m3Cmd:5.174,s1Cmd:5.775,s2Cmd:-2.475,duration:330
Cmdms:1692957448520,m1Cmd:5.264,m2Cmd:6.856,m3Cmd:5.264,s1Cmd:5.88,s2Cmd:-2.52,duration:336
Cmdms:1692957448525,m1Cmd:5.354,m2Cmd:6.976,m3Cmd:5.354,s1Cmd:5.985,s2Cmd:-2.565,duration:342
Cmdms:1692957448531,m1Cmd:5.429,m2Cmd:7.076,m3Cmd:5.429,s1Cmd:6.0725,s2Cmd:-2.6025,duration:347
Anglems:1692957448531,m1:3.128,m2:5.064,m3:3.656,s1:5.2254,s2:-2.16 ,duration:347
Velms:1692957448531,velM1:21.96,velM2:17.568,velM3:13.176,velS1:19.2,velS2:8.7 ,duration:347
Cmdms:1692957448536,m1Cmd:5.519,m2Cmd:7.196,m3Cmd:5.519,s1Cmd:6.1775,s2Cmd:-2.6475,duration:353
Cmdms:1692957448541,m1Cmd:5.594,m2Cmd:7.296,m3Cmd:5.594,s1Cmd:6.265,s2Cmd:-2.685,duration:358
Cmdms:1692957448547,m1Cmd:5.669,m2Cmd:7.396,m3Cmd:5.669,s1Cmd:6.3525,s2Cmd:-2.7225,duration:363
Cmdms:1692957448552,m1Cmd:5.759,m2Cmd:7.516,m3Cmd:5.759,s1Cmd:6.4575,s2Cmd:-2.7675,duration:369
Cmdms:1692957448557,m1Cmd:5.834,m2Cmd:7.616,m3Cmd:5.834,s1Cmd:6.545,s2Cmd:-2.805,duration:374
Cmdms:1692957448563,m1Cmd:5.924,m2Cmd:7.736,m3Cmd:5.924,s1Cmd:6.65,s2Cmd:-2.85,duration:380
Cmdms:1692957448568,m1Cmd:5.999,m2Cmd:7.836,m3Cmd:5.999,s1Cmd:6.7375,s2Cmd:-2.8875,duration:385
Cmdms:1692957448574,m1Cmd:6.074,m2Cmd:7.936,m3Cmd:6.074,s1Cmd:6.825,s2Cmd:-2.925,duration:390
Anglems:1692957448574,m1:3.744,m2:6.032,m3:4.448,s1:6.2154,s2:-2.52 ,duration:390
Velms:1692957448574,velM1:8.784,velM2:17.568,velM3:13.176,velS1:18.6,velS2:8.4 ,duration:390
